RUN_KEY: v1.0.1_params:Decoder.parameters+Encoder.parameters_withoutFlipTrans_smallDB_batch_size:20_vocabThr:4_embedSize:256_hiddenSize:1024_totEpochs:3
[28.47s] Epoch [1/3], Step [1000/6212], Loss: 3.0448, Perplexity: 21.0057

[27.65s] Epoch [1/3], Step [2000/6212], Loss: 2.6093, Perplexity: 13.5890

[27.53s] Epoch [1/3], Step [3000/6212], Loss: 2.0876, Perplexity: 8.0651

[27.51s] Epoch [1/3], Step [4000/6212], Loss: 2.1655, Perplexity: 8.7190

[27.28s] Epoch [1/3], Step [5000/6212], Loss: 2.2216, Perplexity: 9.2218

[27.29s] Epoch [1/3], Step [6000/6212], Loss: 1.9849, Perplexity: 7.2786

[29.09s] Epoch [2/3], Step [1000/6212], Loss: 2.2052, Perplexity: 9.0722

[27.83s] Epoch [2/3], Step [2000/6212], Loss: 2.1068, Perplexity: 8.2217

[27.94s] Epoch [2/3], Step [3000/6212], Loss: 1.9410, Perplexity: 6.9659

[27.43s] Epoch [2/3], Step [4000/6212], Loss: 1.9862, Perplexity: 7.2879

[27.59s] Epoch [2/3], Step [5000/6212], Loss: 2.2821, Perplexity: 9.7974

[27.26s] Epoch [2/3], Step [6000/6212], Loss: 1.6340, Perplexity: 5.1244

[28.25s] Epoch [3/3], Step [1000/6212], Loss: 1.8945, Perplexity: 6.6493

[27.40s] Epoch [3/3], Step [2000/6212], Loss: 1.9423, Perplexity: 6.9751

[27.28s] Epoch [3/3], Step [3000/6212], Loss: 1.7480, Perplexity: 5.7431

[27.22s] Epoch [3/3], Step [4000/6212], Loss: 2.1280, Perplexity: 8.3981

[27.08s] Epoch [3/3], Step [5000/6212], Loss: 1.6852, Perplexity: 5.3934

[27.16s] Epoch [3/3], Step [6000/6212], Loss: 1.4517, Perplexity: 4.2704
