RUN_KEY: v1.0.2_params:Decoder_withoutFlipTrans_batch_size:10_vocabThr:3_embedSize:512_hiddenSize:1024_totEpochs:10
[35.50s] Epoch [3/10], Step [1000/41412], Loss: 2.3687, Perplexity: 10.6840

[34.17s] Epoch [3/10], Step [2000/41412], Loss: 2.4524, Perplexity: 11.6158

[33.98s] Epoch [3/10], Step [3000/41412], Loss: 1.9602, Perplexity: 7.1007

[34.30s] Epoch [3/10], Step [4000/41412], Loss: 2.2154, Perplexity: 9.1647

[33.62s] Epoch [3/10], Step [5000/41412], Loss: 1.8282, Perplexity: 6.2229

[33.30s] Epoch [3/10], Step [6000/41412], Loss: 2.1126, Perplexity: 8.2698

[33.25s] Epoch [3/10], Step [7000/41412], Loss: 2.3057, Perplexity: 10.0316

[33.16s] Epoch [3/10], Step [8000/41412], Loss: 1.6720, Perplexity: 5.3229

[33.40s] Epoch [3/10], Step [9000/41412], Loss: 2.2362, Perplexity: 9.3578

[33.03s] Epoch [3/10], Step [10000/41412], Loss: 1.6791, Perplexity: 5.3606

[33.28s] Epoch [3/10], Step [11000/41412], Loss: 1.9335, Perplexity: 6.9140

[33.01s] Epoch [3/10], Step [12000/41412], Loss: 2.0442, Perplexity: 7.7233

[33.08s] Epoch [3/10], Step [13000/41412], Loss: 2.0054, Perplexity: 7.4293

[33.16s] Epoch [3/10], Step [14000/41412], Loss: 2.0129, Perplexity: 7.4854

[33.64s] Epoch [3/10], Step [15000/41412], Loss: 1.6677, Perplexity: 5.2999

[33.43s] Epoch [3/10], Step [16000/41412], Loss: 2.1591, Perplexity: 8.6635

[33.43s] Epoch [3/10], Step [17000/41412], Loss: 1.4965, Perplexity: 4.4662

[33.35s] Epoch [3/10], Step [18000/41412], Loss: 2.4073, Perplexity: 11.1034

[33.29s] Epoch [3/10], Step [19000/41412], Loss: 1.7809, Perplexity: 5.9352

[33.35s] Epoch [3/10], Step [20000/41412], Loss: 2.1782, Perplexity: 8.8303

[33.37s] Epoch [3/10], Step [21000/41412], Loss: 1.4714, Perplexity: 4.3554

[33.36s] Epoch [3/10], Step [22000/41412], Loss: 2.1862, Perplexity: 8.9009

[33.24s] Epoch [3/10], Step [23000/41412], Loss: 2.2774, Perplexity: 9.7510

[33.17s] Epoch [3/10], Step [24000/41412], Loss: 1.7794, Perplexity: 5.9264

[33.25s] Epoch [3/10], Step [25000/41412], Loss: 1.8844, Perplexity: 6.5823

[33.33s] Epoch [3/10], Step [26000/41412], Loss: 1.5308, Perplexity: 4.6220

[33.51s] Epoch [3/10], Step [27000/41412], Loss: 2.5331, Perplexity: 12.5926

[35.67s] Epoch [3/10], Step [28000/41412], Loss: 2.4714, Perplexity: 11.8390

[35.58s] Epoch [3/10], Step [29000/41412], Loss: 1.9649, Perplexity: 7.1342

[35.39s] Epoch [3/10], Step [30000/41412], Loss: 1.6374, Perplexity: 5.1417

[35.60s] Epoch [3/10], Step [31000/41412], Loss: 1.9566, Perplexity: 7.0751

[34.72s] Epoch [3/10], Step [32000/41412], Loss: 2.1797, Perplexity: 8.8433

[35.38s] Epoch [3/10], Step [33000/41412], Loss: 1.6094, Perplexity: 5.0000

[35.65s] Epoch [3/10], Step [34000/41412], Loss: 2.4523, Perplexity: 11.6148

[35.07s] Epoch [3/10], Step [35000/41412], Loss: 2.0564, Perplexity: 7.8179

[34.97s] Epoch [3/10], Step [36000/41412], Loss: 2.6201, Perplexity: 13.7366

